English,Amharic
"17  When Aʹbram was 99 years old, Jehovah appeared to Aʹbram and said to him: “I am God Almighty. Walk before me and prove yourself faultless.*",17  አብራም ዕድሜው 99 ዓመት ሲሆን ይሖዋ ተገለጠለትና እንዲህ አለው፦ “እኔ ሁሉን ቻይ አምላክ ነኝ። በፊቴ ተመላለስ፤ እንከን* የሌለብህ መሆንህንም አስመሥክር።
"2  I will establish my covenant between me and you,+ and I will multiply you very, very much.”+ ",2  ከአንተ ጋር ቃል ኪዳኔን እመሠርታለሁ፤+ አንተንም እጅግ አበዛሃለሁ።”+
"3  At this Aʹbram fell facedown, and God continued to speak with him, saying:",3  በዚህ ጊዜ አብራም በግንባሩ ተደፋ፤ አምላክም እንዲህ በማለት እሱን ማነጋገሩን ቀጠለ፦
"4  “As for me, look! my covenant is with you,+ and you will certainly become a father of many nations.+",4  “በእኔ በኩል ከአንተ ጋር የገባሁት ቃል ኪዳኔ እንደጸና ነው፤+ አንተም በእርግጥ የብዙ ብሔር አባት ትሆናለህ።+
"5  Your name will no longer be Aʹbram;* your name will become Abraham,* for I will make you a father of many nations.",5  ከእንግዲህ ስምህ አብራም* አይባልም፤ የብዙ ብሔር አባት ስለማደርግህ ስምህ አብርሃም* ይሆናል።
"6  I will make you very, very fruitful and will make you become nations, and kings will come from you.+ ",6  እጅግ አበዛሃለሁ፤ ብዙ ብሔርም አደርግሃለሁ፤ ነገሥታትም ከአንተ ይወጣሉ።+
"7  “And I will keep my covenant between me and you+ and your offspring* after you throughout their generations for an everlasting covenant, to be God to you and to your offspring* after you.",7  “ለአንተም ሆነ ከአንተ በኋላ ለሚመጡት ዘሮችህ አምላክ እሆን ዘንድ በእኔና በአንተ እንዲሁም መጪዎቹን ትውልዶቻቸውን ሁሉ ጨምሮ ከአንተ በኋላ በሚመጡት ዘሮችህ መካከል ያለውን ቃል ኪዳኔን ዘላለማዊ ቃል ኪዳን አድርጌ እጠብቀዋለሁ።+
"8  And I will give to you and to your offspring* after you the land in which you lived as a foreigner+—the entire land of Caʹnaan—for a lasting possession, and I will be their God.”+ ",8  ባዕድ ሆነህ የኖርክበትን አገር ይኸውም መላውን የከነአን ምድር ለአንተና ከአንተ በኋላ ለሚመጡት ዘሮችህ ዘላቂ ርስት አድርጌ እሰጣለሁ፤+ እኔም አምላካቸው እሆናለሁ።”+
"9  God said further to Abraham: “As for you, you are to keep my covenant, you and your offspring* after you throughout their generations.",9  በተጨማሪም አምላክ አብርሃምን እንዲህ አለው፦ “በአንተ በኩል፣ አንተም ሆንክ ከአንተ በኋላ የሚመጡት ዘሮችህ ከትውልድ እስከ ትውልድ ቃል ኪዳኔን መጠበቅ አለባችሁ።
"10  This is my covenant between me and you, that you and your offspring* after you will keep: Every male among you must get circumcised.+",10  እናንተም ሆናችሁ ከእናንተ በኋላ የሚመጡት ዘሮቻችሁ ልትጠብቁት የሚገባው በእኔና በእናንተ መካከል ያለው ቃል ኪዳኔ ይህ ነው፦ በእናንተ መካከል ያለ ወንድ ሁሉ መገረዝ አለበት።+
